fecha,twobe,amz,unempl,federal_funds,apparel_retailers,test_10y,gdp,inflation,consumer_discretionary,luxury,fed_mp
2017-05-01,385.80645161290323,48.08597709090909,0.043,0.009063636363636364,747.4090909090909,0.02299423076923077,0.03,0.019,715.6386363636364,2262.9217391304346,0.01
2017-06-01,387.0,49.52220509090909,0.044,0.010418181818181818,706.6818181818181,0.02182769230769231,0.031,0.016,719.3781818181818,2318.395909090909,0.0125
2017-07-01,387.2903225806452,50.424199900000005,0.043,0.011555,678.8,0.02313925925925926,0.03,0.017,719.3055,2316.4914285714285,0.0125
2017-08-01,390.7741935483871,48.57182647826087,0.044,0.01156086956521739,669.9565217391304,0.022077037037037034,0.033,0.019,713.5469565217392,2378.0304347826086,0.0125
2017-09-01,335.53333333333336,48.449624549999996,0.042,0.01155,701.0,0.021972500000000002,0.032,0.022,713.4555,2442.881428571429,0.0125
2017-10-01,385.61290322580646,50.03599986363636,0.041,0.011557142857142856,703.7272727272727,0.023576153846153844,0.026,0.02,726.3131818181818,2495.1081818181815,0.0125
2017-11-01,479.06666666666666,56.99040457142858,0.041,0.011557142857142856,722.0,0.02353230769230769,0.025,0.022,742.5195238095238,2566.8445454545454,0.0125
2017-12-01,419.96774193548384,58.442074649999995,0.041,0.012985,810.9,0.0240284,0.029,0.021,779.7205,2645.8614285714284,0.015
2018-01-01,457.9032258064516,65.45054747619048,0.041,0.014161904761904761,843.7619047619048,0.025776153846153844,0.023,0.021,834.7961904761905,2774.125,0.015
2018-02-01,512.5357142857143,72.11815810526316,0.041,0.014163157894736843,821.1052631578947,0.028598333333333333,0.022,0.022,828.3947368421053,2751.445,0.015
2018-03-01,599.3548387096774,77.018381,0.041,0.015054545454545454,823.5238095238095,0.0284536,0.02,0.024,825.8171428571428,2715.8172727272727,0.0175
2018-04-01,593.1333333333333,73.41102342857143,0.039,0.016923809523809525,824.0,0.02868884615384615,0.041,0.025,813.0785714285715,2789.019523809524,0.0175
2018-05-01,584.9032258064516,79.74518231818182,0.038,0.017,844.6363636363636,0.029805769230769233,0.042,0.028,834.0104545454545,2842.4265217391303,0.0175
2018-06-01,598.4666666666667,84.94118961904762,0.04,0.01820952380952381,942.3333333333334,0.029145600000000004,0.042,0.029,875.9447619047619,2852.9557142857143,0.02
2018-07-01,574.4193548387096,89.23245247619047,0.039,0.0191,938.8095238095239,0.02884925925925926,0.035,0.029,888.1119047619047,2783.032272727273,0.02
2018-08-01,535.8064516129032,94.89256460869565,0.039,0.01914782608695652,980.8695652173913,0.02887814814814815,0.035,0.027,903.9882608695652,2773.7213043478264,0.02
2018-09-01,537.4,98.30389442105263,0.037,0.019489473684210525,1013.5263157894736,0.030006666666666668,0.034,0.023,928.5726315789474,2744.0029999999997,0.0225
2018-10-01,564.4193548387096,89.10291286956523,0.037,0.021878260869565215,986.5217391304348,0.03155653846153846,0.034,0.025,866.464347826087,2515.653043478261,0.0225
2018-11-01,630.2666666666667,81.27418990476191,0.037,0.02198571428571429,956.8095238095239,0.031144400000000003,0.026,0.022,842.8147619047619,2470.132727272727,0.0225
2018-12-01,694.5483870967741,77.97215710526315,0.039,0.022670000000000003,833.5263157894736,0.028379230769230768,0.022,0.019,796.6273684210527,2356.4257142857145,0.025
2019-01-01,665.2903225806451,82.00161895238095,0.04,0.024,882.4285714285714,0.02709346153846154,0.032,0.016,828.5414285714285,2400.600909090909,0.025
2019-02-01,784.8214285714286,81.34686842105263,0.038,0.024,904.2105263157895,0.026729565217391303,0.031,0.015,861.1657894736842,2583.87,0.025
2019-03-01,910.9032258064516,86.12459495238096,0.038,0.02403809523809524,919.8571428571429,0.025713076923076925,0.031,0.019,879.9166666666666,2624.6099999999997,0.025
2019-04-01,886.8333333333334,93.31011919047619,0.036,0.024231818181818184,960.0952380952381,0.02530125,0.021,0.02,937.2714285714286,2741.910909090909,0.025
2019-05-01,912.1290322580645,93.46915954545456,0.036,0.023927272727272728,905.7272727272727,0.023978846153846153,0.02,0.018,917.3254545454546,2635.151304347826,0.025
2019-06-01,864.6,92.63087465,0.037,0.023755000000000002,878.5,0.020762,0.02,0.016,927.1945,2643.1455,0.025
2019-07-01,872.1935483870968,98.29411286363637,0.037,0.024027272727272727,916.9545454545455,0.02054777777777778,0.019,0.018,972.18,2734.775652173913,0.0225
2019-08-01,859.6451612903226,89.68013704545454,0.037,0.02125,876.5,0.016296153846153846,0.021,0.017,927.5072727272727,2537.3054545454547,0.0225
2019-09-01,851.6333333333333,89.9560489,0.035,0.020524999999999998,923.85,0.0169488,0.021,0.017,955.1375,2619.7576190476193,0.02
2019-10-01,981.8709677419355,87.61658673913044,0.036,0.018295652173913043,947.7391304347826,0.017013846153846154,0.021,0.018,946.1147826086956,2629.839130434783,0.0175
2019-11-01,974.8,88.7147008,0.035,0.015526315789473683,990.95,0.018116666666666666,0.021,0.021,952.9,2809.4909523809524,0.0175
2019-12-01,941.5806451612904,89.2886429047619,0.035,0.01550952380952381,1008.7619047619048,0.018605555555555556,0.021,0.023,966.93,2895.4713636363635,0.0175
2020-01-01,975.1612903225806,94.2118801904762,0.036,0.01551904761904762,1026.2857142857142,0.017611923076923077,-0.048,0.025,994.5300000000001,2996.995,0.0175
2020-02-01,1136.2068965517242,103.30876284210527,0.035,0.01583684210526316,1034.8947368421052,0.015110434782608696,-0.05,0.023,1010.6868421052632,2934.4375,0.0175
2020-03-01,922.741935483871,93.61552213636364,0.044,0.0062545454545454545,783.4090909090909,0.008560740740740742,-0.05,0.015,815.0313636363636,2211.8522727272725,0.0025
2020-04-01,759.4666666666667,111.43526204761905,0.147,0.00048636363636363634,748.1428571428571,0.0065112,-0.329,0.003,876.62,2240.502272727273,0.0025
